id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
8418088,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,419,,SG,JP,MY,T,W,E,,b7d094aba5,
8418089,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,,US,JP,MY,T,W,E,,dc4b3d0a8f,
8418090,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,,MX,JP,MY,T,W,E,,53be2f3eb7,
8418091,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,250,,US,JP,MY,T,W,E,,90fede4243,
8418092,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,132,,JP,SG,MY,T,W,I,,9b87de8483,
8418093,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,150,,JP,SG,MY,T,W,I,,e582629a26,
8418094,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,152,,JP,SG,MY,T,W,I,,ab0f402447,
8418095,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,160,,JP,SG,MY,T,W,I,,6f14471437,
8418096,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,200,,JP,SG,MY,T,W,I,,9b549ae30b,
8418097,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,219,,JP,SG,MY,T,W,I,,1714e42987,
8418098,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,219,,JP,SG,MY,T,W,I,,9245bac039,
8418099,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,220,,JP,SG,MY,T,W,I,,b322d8d784,
8418100,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,270,,JP,SG,MY,T,W,I,,2eb7fa8ae7,
8418101,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,,JP,SG,MY,T,W,I,,5f81cb6715,
8418102,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,,JP,SG,MY,T,W,I,,294140b0ca,
8418103,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,,JP,SG,MY,T,W,I,,fe9bd073b9,
8418104,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,512,,JP,SG,MY,T,W,I,,f9345addbc,
