,year,appendix,taxon,class,ord,family,genus,term,importer,exporter,origin,purpose,source,reporter_type,unit,quantity
3498,2015,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,CN,CD,,T,W,I,kg,750.0
3499,2015,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,ZA,HK,,S,U,I,kg,27.881999999999998
3508,2015,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CD,,T,W,I,kg,200.0
3510,2015,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3511,2015,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3512,2015,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3513,2015,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3521,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,CN,UG,,T,W,I,kg,3000.0
3522,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,CN,UG,,T,W,I,kg,1000.0
3526,2016,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,VN,,T,I,I,kg,0.454
3568,2016,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3569,2016,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,250.0
3573,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,319.0
3574,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,490.0
3575,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,980.0
3576,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,520.0
3577,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,515.0
3578,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,1484.0
3579,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,525.0
3580,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,988.0
3581,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,185.0
3582,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,515.0
3592,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,2257.0
3593,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,1489.7
3594,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,1437.0
3595,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,1138.0
3596,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,790.0
3597,2017,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,HK,BI,,T,W,I,kg,594.0
3604,2017,I,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,KH,,P,I,I,kg,1.0
3626,2017,I,Manidae spp.,Mammalia,Pholidota,Manidae,,scales,ZA,HK,,L,I,I,kg,14.8
3627,2017,I,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,ZA,HK,,S,I,I,kg,12.8
3629,2017,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,3000.0
3630,2017,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,CN,CG,,T,W,I,kg,2000.0
