App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis gigantea,scales,kg,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6521,7705.7,
II,Manis gigantea,scales,kg,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,
II,Manis gigantea,scales,kg,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
II,Manis gigantea,scales,kg,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,135,80,,,,,
II,Manis gigantea,scales,kg,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,,,,,
II,Manis gigantea,scales,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
II,Manis gigantea,scales,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
II,Manis gigantea,scales,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
II,Manis gigantea,scales,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,45,,,,,,
II,Manis gigantea,skin pieces,,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
II,Manis gigantea,skin pieces,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,
II,Manis gigantea,skin pieces,,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
II,Manis gigantea,skins,kg,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,
