,cause,court info,date,url
26,違反毒品危害防制條例,臺灣雲林地方法院 102 年度 訴緝 字第 7 號刑事判決（8K）,102.04.17,https://law.judicial.gov.tw/FJUD/data.aspx?ro=26&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
27,違反毒品危害防制條例,臺灣雲林地方法院 102 年度 易 字第 82 號刑事判決（8K）,102.04.17,https://law.judicial.gov.tw/FJUD/data.aspx?ro=27&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
28,侵權行為損害賠償,臺灣新北地方法院 101 年度 訴 字第 1805 號民事判決（14K）,101.11.12,https://law.judicial.gov.tw/FJUD/data.aspx?ro=28&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
29,藥事法,最高行政法院 101 年度 判 字第 782 號行政判決（33K）,101.08.23,https://law.judicial.gov.tw/FJUD/data.aspx?ro=29&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
30,違反野生動物保育法,臺灣屏東地方法院 100 年度 簡 字第 2110 號刑事判決（3K）,101.01.18,https://law.judicial.gov.tw/FJUD/data.aspx?ro=30&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
31,竊盜,臺灣高等法院 100 年度 上易 字第 2359 號刑事判決（19K）,100.12.21,https://law.judicial.gov.tw/FJUD/data.aspx?ro=31&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
32,違反毒品危害防制條例,臺灣雲林地方法院 100 年度 訴 字第 640 號刑事宣示筆錄（4K）,100.08.22,https://law.judicial.gov.tw/FJUD/data.aspx?ro=32&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
33,藥事法,臺北高等行政法院 99 年度 訴 字第 2490 號行政判決（20K）,100.05.05,https://law.judicial.gov.tw/FJUD/data.aspx?ro=33&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
34,違反藥事法等,臺灣高等法院 高雄分院 99 年度 醫上訴 字第 8 號刑事判決（53K）,100.02.25,https://law.judicial.gov.tw/FJUD/data.aspx?ro=34&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
35,違反野生動物保育法,臺灣嘉義地方法院 99 年度 訴 字第 910 號刑事判決（10K）,99.12.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=35&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
36,違反藥事法等,臺灣高雄地方法院 99 年度 醫訴 字第 4 號刑事判決（47K）,99.10.26,https://law.judicial.gov.tw/FJUD/data.aspx?ro=36&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
