,Unnamed: 0,year,court,lat,lng,confidence,province
0,0,2017,内江市市中区人民法院,29.59008997830195,105.06556897461377,80.0,四川
1,1,2016,内江市中级人民法院,29.584981830850342,105.0603247389127,80.0,四川
2,2,2014,双江拉祜族佤族布朗族傣族自治县人民法院,23.484996969266078,99.82962890842589,80.0,云南
3,3,2016,北京市西城区人民法院,39.87924892777714,116.3755646551698,80.0,北京市
4,4,2016,蕉岭县人民法院,24.65207534336981,116.17564084030418,80.0,广东
5,5,2017,肇庆市高要区人民法院,23.054749249243173,112.49919299785415,80.0,广东
6,6,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
7,7,2015,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
8,8,2017,玉林市玉州区人民法院,22.636689036494865,110.15823648048546,80.0,广西壮族自治区
9,9,2018,梁河县人民法院,24.819743848266988,98.3145506455112,80.0,云南
10,10,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
11,11,2017,樟树市人民法院,28.06411898520264,115.54697520393644,80.0,江西
12,12,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
13,13,2016,广州市中级人民法院,23.134038957240747,113.27876665123472,80.0,广东
14,14,2014,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
15,15,2016,广州市荔湾区人民法院,23.07780318444291,113.22338615878327,80.0,广东
16,16,2017,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
17,17,2019,兴国县人民法院,26.33820914675232,115.36742728849441,80.0,江西
18,18,2017,安宁市人民法院,24.92609861102425,102.46979040639864,75.0,云南
19,19,2018,红河哈尼族彝族自治州中级人民法院,23.377638448996137,103.38020887058944,80.0,云南
20,20,2017,资中县人民法院,29.609622023987203,105.11897000326445,80.0,四川
21,21,2018,文山壮族苗族自治州中级人民法院,23.4015440656204,104.22972707656515,70.0,云南
22,22,2017,腾冲市人民法院,25.026616860345516,98.49759503548854,12.0,云南
23,23,2015,广州市中级人民法院,23.134038957240747,113.27876665123472,80.0,广东
24,24,2019,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
25,25,2019,龙陵县人民法院,24.599614875168637,98.701004583591,80.0,云南
26,26,2014,公诉机关陇川县人民检察院,24.18983592273316,97.80211765734659,80.0,云南
27,27,2018,肇庆市中级人民法院,23.085953312955446,112.514593476546,75.0,广东
28,28,2017,樟树市人民法院,28.06411898520264,115.54697520393644,80.0,江西
29,29,2017,安宁市人民法院,24.92609861102425,102.46979040639864,75.0,云南
30,30,2018,云南省高级人民法院,25.073730118749925,102.72589836541263,90.0,云南
31,31,2018,上海市第三中级人民法院,31.23592904225201,121.48053886017652,12.0,上海市
32,32,2017,西藏自治区日喀则市中级人民法院,29.275657822511512,88.89370303482552,,西藏自治区
33,33,2018,广州市中级人民法院,23.134038957240747,113.27876665123472,80.0,广东
34,34,2018,西双版纳傣族自治州中级人民法院,22.004829241598827,100.78535799145723,80.0,云南
35,35,2018,湛江市中级人民法院,21.278894342490066,110.37991203088949,80.0,广东
