,year,court,lat,lng,confidence
105,2018,揭西县人民法院,23.43326592,115.8586538,80
106,2017,佛山市南海区人民法院,23.06362435,113.1488688,70
107,2017,昆明市盘龙区人民法院,25.07373012,102.7258984,90
108,2017,勐腊县人民法院,21.49094586,101.5767314,80
109,2010,福州市仓山区人民法院,26.05271271,119.261814,90
110,2013,崇左市江州区人民法院,22.41433169,107.358766,80
111,2017,北流市人民法院,22.71479971,110.3565992,80
112,2017,腾冲县人民法院,25.03067694,98.49830818,80
113,2018,昆明市盘龙区人民法院,25.07373012,102.7258984,90
114,2014,长沙市芙蓉区人民法院,28.19378606,113.0420905,75
115,2018,澜沧拉祜族自治县人民法院,22.56007888,99.9328659,80
116,2014,茶陵县人民法院,26.77967881,113.5348856,75
117,2016,义乌市人民法院,29.29979125,120.0708077,75
118,2017,从化市人民法院,23.56407658,113.6138776,80
119,2018,诸暨市人民法院,29.72031747,120.2575927,80
120,2017,云南省泸水市人民法院,25.82902677,98.86458616,14
121,2016,磐安县人民法院,29.05335031,120.458538,80
122,2018,芒市人民法院,24.44503386,98.59295169,80
123,2018,保山市隆阳区人民法院,25.13781316,99.18195098,80
124,2018,福清市人民法院,25.7301491,119.3964506,80
125,2015,益阳市赫山区人民法院,28.5697076,112.3935249,80
126,2018,丽江市古城区人民法院,26.89553879,100.2220037,80
127,2016,磐安县人民法院,29.05335031,120.458538,80
128,2018,普洱市思茅区人民法院,22.76636067,100.9742645,80
129,2017,玉林市玉州区人民法院,22.63668904,110.1582365,80
130,2016,阿里地区中级人民法院,32.50882656,80.09987393,80
131,2015,勐海县人民法院,21.95735901,100.4454754,80
132,2017,诏安县人民法院,23.71439188,117.1788307,80
133,2017,诸暨市人民法院,29.72031747,120.2575927,80
134,2016,磐安县人民法院,29.05335031,120.458538,80
135,2017,连城县人民法院,25.7120491,116.7479306,80
136,2015,广州市荔湾区人民法院,23.07780318,113.2233862,80
137,2014,镇康县人民法院,23.77073593,98.8418576,80
138,2015,防城港市防城区人民法院,21.77490918,108.3648569,80
139,2016,宁国市人民法院,30.63935223,118.9896098,14
140,2014,茶陵县人民法院,26.77967881,113.5348856,75
141,2014,茶陵县人民法院,26.77967881,113.5348856,75
142,2017,昆明市中级人民法院,25.01690229,102.6945991,75
143,2018,南宁市兴宁区人民法院,22.85822613,108.3730277,75
144,2016,永嘉县人民法院,28.15332931,120.6895496,75
145,2017,河口瑶族自治县人民法院,22.52340287,103.9656656,80
146,2017,梧州市中级人民法院,23.48424402,111.2746225,80
147,2009,杭州市西湖区人民法院,30.28789243,120.1224669,80
148,2016,南京市建邺区人民法院,32.04447888,118.7876528,80
149,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
150,2011,郑州市金水区人民法院,34.78160422,113.6730934,80
151,2014,中级人民法院,38.09374376,114.4637136,80
152,2017,永康市人民法院,28.90359747,120.0472314,80
153,2018,梁河县人民法院,24.81974385,98.31455065,80
154,2018,丽江市古城区人民法院,26.89553879,100.2220037,80
155,2016,广州市中级人民法院,23.13403896,113.2787667,80
156,2017,莆田市荔城区人民法院,25.44011214,119.0182769,80
157,2012,防城港市港口区人民法院,21.64957575,108.3892199,80
158,2014,从化市人民法院,23.56407658,113.6138776,80
159,2018,亳州市谯城区人民法院,33.85284223,115.7902792,80
