,year,court,lat,lng,confidence,province
0,2016,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
1,2015,大姚县人民法院,25.72341729182304,101.33367806285214,80.0,云南
2,2018,石门县人民法院,29.586346389719274,111.3705232861334,80.0,湖南
3,2018,德宏傣族景颇族自治州中级人民法院,24.450821766652332,98.58743340171462,80.0,云南
4,2018,宁洱哈尼族彝族自治县人民法院,23.05978862529659,101.0506751845225,80.0,云南
5,2015,盘县人民法院,25.70412205508223,104.47773491688305,80.0,贵州
6,2015,东阳市人民法院,29.29381508790127,120.25239380279297,80.0,浙江
7,2018,亳州市中级人民法院,33.86209518370327,115.78564056461148,80.0,安徽
8,2017,内江市市中区人民法院,29.59008997830195,105.06556897461375,80.0,四川
9,2016,益阳市中级人民法院,28.566107792587502,112.36914490408182,80.0,湖南
10,2018,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
11,2016,内江市中级人民法院,29.584981830850346,105.06032473891267,80.0,四川
12,2014,双江拉祜族佤族布朗族傣族自治县人民法院,23.484996969266078,99.82962890842587,80.0,云南
13,2016,公诉机关勐海县人民检察院,21.960285895060057,100.45913512608955,80.0,云南
14,2015,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
15,2018,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
16,2017,瑞丽市人民法院,24.00396904535055,97.856089636403,80.0,云南
17,2017,河口瑶族自治县人民法院,22.523402866099577,103.9656656014159,80.0,云南
18,2019,三明市中级人民法院,26.252251927884092,117.63505501032813,80.0,福建
19,2016,北京市西城区人民法院,39.87924892777714,116.3755646551698,80.0,北京市
20,2017,葫芦岛市龙港区人民法院,40.726911211752686,120.9420885188488,80.0,辽宁
21,2016,蕉岭县人民法院,24.652075343369813,116.17564084030418,80.0,广东
22,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
23,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
24,2016,永嘉县人民法院,28.153329306264546,120.68954955280596,75.0,浙江
25,2017,绍兴市中级人民法院,29.994586675243937,120.58339651225222,70.0,浙江
26,2015,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
27,2018,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
28,2017,佛山市南海区人民法院,23.063624352056834,113.14886880804194,70.0,广东
29,2017,景洪市人民法院,22.00949875927155,100.77306671791415,80.0,云南
30,2018,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
31,2017,吉林高新技术产业开发区人民法院,43.823034492758445,125.26127292274947,80.0,吉林
32,2016,嵊州市人民法院,29.60777161500144,120.83766882617753,80.0,浙江
