,year,court,lat,lng,confidence
388,2018,陇川县人民法院,24.181992138288827,97.79389995854405,80.0
389,2018,云南省高级人民法院,25.073730118749918,102.72589836541265,90.0
390,2017,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0
391,2017,瑞丽市人民法院,24.00396904535055,97.856089636403,80.0
392,2018,上海市第三中级人民法院,31.235929042252014,121.48053886017651,12.0
393,2017,西藏自治区日喀则市中级人民法院,29.275657822511512,88.89370303482552,
394,2017,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0
395,2017,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0
396,2017,腾冲市人民法院,25.026616860345513,98.49759503548854,12.0
397,2017,腾冲市人民法院,25.026616860345513,98.49759503548854,12.0
398,2018,北海市中级人民法院,21.49155899760095,109.13334552138174,80.0
399,2018,瑞丽市人民法院,24.00396904535055,97.856089636403,80.0
400,2018,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0
401,2018,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0
402,2019,云南省高级人民法院,25.073730118749918,102.72589836541265,90.0
403,2019,广东省高级人民法院,23.077803184442907,113.22338615878326,80.0
404,2018,湛江市中级人民法院,21.278894342490062,110.37991203088949,80.0
405,2018,上海市第三中级人民法院,31.235929042252014,121.48053886017651,12.0
