,year,court,lat,lng,confidence
0,2017,内江市市中区人民法院,29.59008997830195,105.06556897461375,80.0
1,2016,内江市中级人民法院,29.584981830850346,105.06032473891267,80.0
2,2014,双江拉祜族佤族布朗族傣族自治县人民法院,23.484996969266078,99.82962890842587,80.0
3,2016,北京市西城区人民法院,39.87924892777714,116.3755646551698,80.0
4,2016,蕉岭县人民法院,24.652075343369813,116.17564084030418,80.0
5,2017,肇庆市高要区人民法院,23.054749249243166,112.49919299785415,80.0
6,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0
7,2015,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0
8,2017,玉林市玉州区人民法院,22.636689036494865,110.15823648048546,80.0
9,2018,梁河县人民法院,24.81974384826699,98.3145506455112,80.0
10,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0
11,2017,樟树市人民法院,28.064118985202636,115.54697520393644,80.0
12,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0
13,2016,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0
14,2014,陇川县人民法院,24.181992138288827,97.79389995854405,80.0
15,2016,广州市荔湾区人民法院,23.077803184442907,113.22338615878326,80.0
16,2017,陇川县人民法院,24.181992138288827,97.79389995854405,80.0
17,2019,兴国县人民法院,26.33820914675232,115.36742728849441,80.0
18,2017,安宁市人民法院,24.926098611024248,102.46979040639864,75.0
19,2018,红河哈尼族彝族自治州中级人民法院,23.377638448996137,103.38020887058944,80.0
20,2017,资中县人民法院,29.609622023987203,105.11897000326445,80.0
21,2018,文山壮族苗族自治州中级人民法院,23.401544065620396,104.22972707656515,70.0
22,2017,腾冲市人民法院,25.026616860345513,98.49759503548854,12.0
23,2015,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0
24,2019,磐安县人民法院,29.053350305111245,120.45853797073136,80.0
25,2019,龙陵县人民法院,24.599614875168633,98.701004583591,80.0
26,2014,公诉机关陇川县人民检察院,24.189835922733156,97.80211765734661,80.0
27,2018,肇庆市中级人民法院,23.085953312955443,112.51459347654601,75.0
28,2017,樟树市人民法院,28.064118985202636,115.54697520393644,80.0
29,2017,安宁市人民法院,24.926098611024248,102.46979040639864,75.0
30,2018,云南省高级人民法院,25.073730118749918,102.72589836541265,90.0
31,2018,上海市第三中级人民法院,31.235929042252014,121.48053886017651,12.0
32,2017,西藏自治区日喀则市中级人民法院,29.275657822511512,88.89370303482552,
33,2018,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0
34,2018,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0
35,2018,湛江市中级人民法院,21.278894342490062,110.37991203088949,80.0
